lat,lon,id,pm2_5_cf_1_count,pm2_5_atm_count,p_2_5_um_count,start_date,end_date,Network
33.9993,-117.416,9359,8891,8891,8892,01-01-2019 00:00,14-01-2020 23:56,PPA
33.7772,-117.504,9364,6011,6011,5997,01-01-2019 00:00,14-01-2020 23:00,PPA
33.7772,-117.504,9365,5968,5968,5987,01-01-2019 00:00,12-01-2020 04:00,PPA
33.7848,-117.505,9376,8120,8120,8118,01-01-2019 00:01,14-01-2020 23:36,PPA
33.7848,-117.505,9377,8116,8116,8117,01-01-2019 00:01,14-01-2020 23:36,PPA
33.7621,-117.5,9382,8760,8760,8764,01-01-2019 00:00,14-01-2020 23:00,PPA
33.7621,-117.5,9383,8758,8758,8750,01-01-2019 00:00,14-01-2020 23:00,PPA
33.7993,-117.53,9386,8813,8813,8814,01-01-2019 23:00,14-01-2020 23:13,PPA
33.7993,-117.53,9387,8815,8815,8814,01-01-2019 00:00,14-01-2020 23:17,PPA
33.7199,-117.423,9390,7267,7267,7266,01-01-2019 00:00,14-01-2020 23:19,PPA
33.7199,-117.423,9391,7266,7266,7266,01-01-2019 00:00,14-01-2020 23:19,PPA
33.7611,-117.481,9392,8972,8972,8973,01-01-2019 00:02,14-01-2020 23:19,PPA
33.7611,-117.481,9393,8972,8972,8972,01-01-2019 00:00,14-01-2020 23:19,PPA
33.7786,-117.51,9394,8947,8947,8946,01-01-2019 00:00,14-01-2020 23:20,PPA
33.7786,-117.51,9395,8946,8946,8946,01-01-2019 00:00,14-01-2020 23:20,PPA
33.7831,-117.499,9396,288,288,288,01-01-2019 00:00,13-01-2019 19:00,PPA
33.7831,-117.499,9397,288,288,288,01-01-2019 00:00,13-01-2019 19:00,PPA
33.7464,-117.46,9398,8962,8962,8962,01-01-2019 00:00,14-01-2020 23:30,PPA
33.7464,-117.46,9399,8962,8962,8962,01-01-2019 00:00,14-01-2020 23:40,PPA
33.7988,-117.522,9404,5866,5866,5866,01-01-2019 00:03,27-12-2019 03:00,PPA
33.7988,-117.522,9405,5866,5866,5867,17-04-2019 06:00,27-12-2019 03:00,PPA
33.7361,-117.45,9408,7466,7466,7467,01-01-2019 00:00,14-01-2020 23:19,PPA
33.7361,-117.45,9409,7466,7466,7467,01-01-2019 00:00,14-01-2020 23:19,PPA
33.7738,-117.501,9410,8995,8995,8995,01-01-2019 00:00,14-01-2020 22:59,PPA
33.7738,-117.501,9411,8996,8996,8997,01-01-2019 00:00,14-01-2020 23:49,PPA
34,-117.416,9464,7580,7580,7580,17-01-2019 17:11,04-12-2019 00:00,PPA
34,-117.416,9465,7580,7580,7580,17-01-2019 17:11,04-12-2019 00:00,PPA
33.7722,-118.094,9472,8982,8982,8980,01-01-2019 00:00,14-01-2020 23:43,PPA
