Network,lat,lon,id,Loc
PPA,34.4865,-117.223,5523,Riverside
PPA,34.4865,-117.223,5524,Riverside
PPA,34.4865,-117.223,5525,Riverside
PPA,33.9261,-117.277,5586,Riverside
PPA,33.9261,-117.277,5587,Riverside
PPA,33.7354,-116.371,5628,Riverside
PPA,33.7354,-116.371,5629,Riverside
PPA,34.382,-117.278,6116,Riverside
PPA,34.382,-117.278,6117,Riverside
PPA,34.1065,-117.212,6460,Riverside
PPA,34.1065,-117.212,6461,Riverside
PPA,34.4831,-117.266,6670,Riverside
PPA,34.4831,-117.266,6671,Riverside
PPA,33.9996,-117.416,6806,Riverside
PPA,33.9996,-117.416,6807,Riverside
PPA,34.2617,-117.206,6910,Riverside
PPA,34.2617,-117.206,6911,Riverside
PPA,33.9995,-117.416,6912,Riverside
PPA,33.9995,-117.416,6913,Riverside
PPA,34.0419,-117.67,7228,Riverside
PPA,34.0419,-117.67,7229,Riverside
PPA,33.9997,-117.416,7350,Riverside
PPA,33.9995,-117.416,7358,Riverside
PPA,33.9996,-117.416,7360,Riverside
PPA,34.838,-116.684,7756,Riverside
PPA,34.838,-116.684,7757,Riverside
PPA,34.8141,-116.663,8266,Riverside
PPA,34.8141,-116.663,8267,Riverside
PPA,34.766,-117.326,8268,Riverside
PPA,34.766,-117.326,8269,Riverside
PPA,35.2736,-116.063,8270,Riverside
PPA,35.2736,-116.063,8271,Riverside
PPA,34.4797,-117.189,8272,Riverside
PPA,34.4797,-117.189,8273,Riverside
PPA,33.621,-114.606,8276,Riverside
PPA,33.621,-114.606,8277,Riverside
PPA,34.8673,-116.662,8278,Riverside
PPA,34.8673,-116.662,8279,Riverside
PPA,33.5984,-114.593,8282,Riverside
PPA,33.5984,-114.593,8283,Riverside
PPA,34.4576,-116.939,8286,Riverside
PPA,34.4576,-116.939,8287,Riverside
PPA,34.897,-116.888,8288,Riverside
PPA,34.897,-116.888,8289,Riverside
PPA,35.265,-116.698,8294,Riverside
PPA,35.265,-116.698,8295,Riverside
PPA,34.1468,-115.121,8296,Riverside
PPA,34.1468,-115.121,8297,Riverside
PPA,34.5334,-117.279,8300,Riverside
PPA,34.5334,-117.279,8301,Riverside
PPA,34.8409,-114.617,8304,Riverside
PPA,34.8409,-114.617,8305,Riverside
PPA,34.391,-117.238,8316,Riverside
PPA,34.391,-117.238,8317,Riverside
PPA,34.2908,-114.175,8318,Riverside
PPA,34.2908,-114.175,8319,Riverside
PPA,34.8355,-114.617,8324,Riverside
PPA,34.8355,-114.617,8325,Riverside
PPA,34.4507,-117.644,8326,Riverside
PPA,34.4507,-117.644,8327,Riverside
PPA,35.1425,-116.103,8328,Riverside
PPA,35.1425,-116.103,8329,Riverside
PPA,34.4254,-117.59,8330,Riverside
PPA,34.4254,-117.59,8331,Riverside
PPA,34.4163,-117.286,8332,Riverside
PPA,34.4163,-117.286,8333,Riverside
PPA,34.3614,-117.636,8334,Riverside
PPA,34.3614,-117.636,8335,Riverside
PPA,34.41,-116.907,8336,Riverside
PPA,34.41,-116.907,8337,Riverside
PPA,34.5108,-117.326,8338,Riverside
PPA,34.5108,-117.326,8339,Riverside
PPA,34.4383,-117.452,8340,Riverside
PPA,34.4383,-117.452,8341,Riverside
PPA,34.8939,-117.025,8342,Riverside
PPA,34.8939,-117.025,8343,Riverside
PPA,35.7745,-117.372,8348,Riverside
PPA,35.7745,-117.372,8349,Riverside
PPA,33.9519,-117.696,8444,Riverside
PPA,33.9519,-117.696,8445,Riverside
PPA,34.8374,-116.684,8724,Riverside
PPA,34.8374,-116.684,8725,Riverside
PPA,33.9706,-117.319,8782,Riverside
PPA,33.9706,-117.319,8783,Riverside
PPA,33.9735,-117.332,8785,Riverside
PPA,33.974,-117.326,8801,Riverside
PPA,33.9785,-117.328,8803,Riverside
PPA,33.9752,-117.327,8804,Riverside
PPA,33.9752,-117.327,8805,Riverside
PPA,33.9743,-117.332,8806,Riverside
PPA,33.9743,-117.332,8807,Riverside
PPA,33.7402,-117.433,9176,Riverside
PPA,33.7402,-117.433,9177,Riverside
PPA,33.736,-117.448,9178,Riverside
PPA,33.736,-117.448,9179,Riverside
PPA,33.7618,-117.498,9180,Riverside
PPA,33.7618,-117.498,9181,Riverside
PPA,33.7691,-117.508,9184,Riverside
PPA,33.7691,-117.508,9185,Riverside
PPA,33.7494,-117.461,9186,Riverside
PPA,33.7494,-117.461,9187,Riverside
PPA,33.7895,-117.453,9192,Riverside
PPA,33.7895,-117.453,9193,Riverside
PPA,33.7641,-117.501,9194,Riverside
PPA,33.7641,-117.501,9195,Riverside
PPA,33.7991,-117.528,9196,Riverside
PPA,33.7991,-117.528,9197,Riverside
PPA,33.7932,-117.51,9198,Riverside
PPA,33.7932,-117.51,9199,Riverside
PPA,33.7471,-117.461,9206,Riverside
PPA,33.7471,-117.461,9207,Riverside
PPA,33.7532,-117.469,9208,Riverside
PPA,33.7532,-117.469,9209,Riverside
PPA,33.9994,-117.416,9226,Riverside
PPA,33.9994,-117.416,9227,Riverside
PPA,33.8065,-117.503,9262,Riverside
PPA,33.8065,-117.503,9263,Riverside
PPA,34.2423,-116.93,9268,Riverside
PPA,34.2423,-116.93,9269,Riverside
PPA,33.7195,-117.428,9306,Riverside
PPA,33.7195,-117.428,9307,Riverside
PPA,33.75,-117.469,9314,Riverside
PPA,33.75,-117.469,9315,Riverside
PPA,33.7637,-117.498,9336,Riverside
PPA,33.7637,-117.498,9337,Riverside
PPA,33.7728,-117.501,9338,Riverside
PPA,33.7728,-117.501,9339,Riverside
PPA,33.718,-117.427,9340,Riverside
PPA,33.718,-117.427,9341,Riverside
PPA,33.7888,-117.505,9344,Riverside
PPA,33.7888,-117.505,9345,Riverside
PPA,33.7368,-117.447,9352,Riverside
PPA,33.7368,-117.447,9353,Riverside
PPA,33.9993,-117.416,9358,Riverside
PPA,33.9993,-117.416,9359,Riverside
PPA,33.7267,-117.419,9362,Riverside
PPA,33.7267,-117.419,9363,Riverside
PPA,33.7772,-117.504,9364,Riverside
PPA,33.7772,-117.504,9365,Riverside
PPA,33.7848,-117.505,9376,Riverside
PPA,33.7848,-117.505,9377,Riverside
PPA,33.7621,-117.5,9382,Riverside
PPA,33.7621,-117.5,9383,Riverside
PPA,33.7993,-117.53,9386,Riverside
PPA,33.7993,-117.53,9387,Riverside
PPA,33.7199,-117.423,9390,Riverside
PPA,33.7199,-117.423,9391,Riverside
PPA,33.7611,-117.481,9392,Riverside
PPA,33.7611,-117.481,9393,Riverside
PPA,33.7786,-117.51,9394,Riverside
PPA,33.7786,-117.51,9395,Riverside
PPA,33.7831,-117.499,9396,Riverside
PPA,33.7831,-117.499,9397,Riverside
PPA,33.7464,-117.46,9398,Riverside
PPA,33.7464,-117.46,9399,Riverside
PPA,33.7847,-117.503,9402,Riverside
PPA,33.7847,-117.503,9403,Riverside
PPA,33.7988,-117.522,9404,Riverside
PPA,33.7988,-117.522,9405,Riverside
PPA,33.7361,-117.45,9408,Riverside
PPA,33.7361,-117.45,9409,Riverside
PPA,33.7738,-117.501,9410,Riverside
PPA,33.7738,-117.501,9411,Riverside
PPA,33.7658,-117.477,9422,Riverside
PPA,33.7658,-117.477,9423,Riverside
PPA,34,-117.416,9464,Riverside
PPA,34,-117.416,9465,Riverside
PPA,34.1787,-116.1,10018,Riverside
PPA,34.1787,-116.1,10019,Riverside
PPA,34.0458,-117.175,10022,Riverside
PPA,34.0458,-117.175,10023,Riverside
PPA,33.7206,-117.417,10204,Riverside
PPA,33.7206,-117.417,10205,Riverside
PPA,33.8336,-117.544,10628,Riverside
PPA,33.8336,-117.544,10629,Riverside
PPA,34.559,-117.152,11136,Riverside
PPA,34.559,-117.152,11137,Riverside
PPA,34.4161,-117.516,11640,Riverside
PPA,34.4161,-117.516,11641,Riverside
PPA,34.2553,-116.822,12000,Riverside
PPA,34.2553,-116.822,12001,Riverside
PPA,33.8343,-117.541,12064,Riverside
